Approach,mutation_feature_apfd,mutation_model_apfd,fusion_2_feature_apfd,fusion_3_feature_apfd
lr,0.7055534010938376,0.6291344670077823,0.7068873108145757,0.7201246925975904
rf,0.7136496808347863,0.6279232632661307,0.7138480642035278,0.7820109571043742
xgb,0.7143871002563371,0.6301242952390793,0.7144292206066051,0.803974213434223
lgb,0.7148882105888019,0.628554146049669,0.7169705397564501,0.8065033142014696
