Approach,mutation_feature_apfd,mutation_model_apfd,fusion_2_feature_apfd,fusion_3_feature_apfd
lr,0.5372868232482781,0.5502506314118701,0.5508439785227771,0.5663856911863949
rf,0.5374162347526751,0.5499688307161078,0.5510224365697617,0.5777872552526548
xgb,0.5374168746788167,0.5499688307161078,0.5510304248003268,0.5776593079860397
lgb,0.5374182358776436,0.5499685975226832,0.5510186078591174,0.5776885113951323
