Approach,mutation_feature_apfd,mutation_model_apfd,original_feature_apfd,fusion_2_feature_apfd,fusion_3_feature_apfd
lr,0.5251848226645015,0.6654879441803059,0.790115796008118,0.6750517205078733,0.8020433988405078
rf,0.5252055488735694,0.6658798064474232,0.8119334123085307,0.6750478018852022,0.8130931829822338
xgb,0.5252067291816029,0.66589168034624,0.8325144434884212,0.6752390117866268,0.832055681361966
lgb,0.5252051003565168,0.6658127649511212,0.8332506488212276,0.6751702470405959,0.8339970520154432
