Approach,mutation_feature_apfd,mutation_model_apfd,fusion_2_feature_apfd,fusion_3_feature_apfd
lr,0.5957125197212195,0.6016635214408724,0.6026046236375704,0.6027752689993015
rf,0.595828082642961,0.6014952170984064,0.602734606241805,0.614454296579746
xgb,0.5960134838973986,0.6014759472722767,0.6029640946170255,0.6137739440820155
lgb,0.5958331008917043,0.6014759472722767,0.60299137122713,0.6140048084286656
